"Date","Price","Open","High","Low","Vol.","Change %"
"07-11-2023","121.30","123.55","126.35","120.50","120.89M","-1.62%"
"06-11-2023","123.30","119.60","123.90","118.25","186.29M","5.84%"
"03-11-2023","116.50","108.80","119.90","108.70","238.83M","8.32%"
"02-11-2023","107.55","105.00","108.00","104.90","47.09M","3.71%"
"01-11-2023","103.70","105.60","107.15","103.25","47.91M","-1.33%"
"31-10-2023","105.10","107.85","108.15","104.25","49.38M","-2.41%"
"30-10-2023","107.70","106.20","108.60","105.70","48.28M","1.94%"
"27-10-2023","105.65","107.35","109.25","105.05","43.74M","-0.75%"
"26-10-2023","106.45","107.50","108.00","101.25","108.61M","-1.66%"
"25-10-2023","108.25","105.65","109.50","105.55","59.69M","-0.60%"
"23-10-2023","108.90","113.80","113.90","106.80","70.94M","-3.93%"
"20-10-2023","113.35","114.00","114.50","112.15","64.43M","1.52%"
"19-10-2023","111.65","112.00","113.15","110.65","43.52M","-1.37%"
"18-10-2023","113.20","114.50","115.10","109.50","100.55M","-0.57%"
"17-10-2023","113.85","112.50","114.20","111.50","55.35M","2.11%"
"16-10-2023","111.50","111.90","112.75","110.85","47.46M","0.45%"
"13-10-2023","111.00","109.85","111.80","109.10","55.79M","1.05%"
"12-10-2023","109.85","110.20","113.25","109.50","117.71M","0.78%"
"11-10-2023","109.00","106.80","109.80","106.55","93.84M","2.78%"
"10-10-2023","106.05","104.90","107.95","104.65","67.71M","2.07%"
"09-10-2023","103.90","103.80","105.25","101.00","53.81M","-0.53%"
"06-10-2023","104.45","106.40","107.20","104.00","65.04M","-0.90%"
"05-10-2023","105.40","102.60","107.70","102.35","140.10M","4.62%"
"04-10-2023","100.75","104.40","104.40","100.35","68.73M","-4.32%"
"03-10-2023","105.30","101.00","105.90","100.00","82.98M","3.74%"
"29-09-2023","101.50","100.05","102.75","99.60","49.53M","1.55%"
"28-09-2023","99.95","100.35","100.60","99.30","25.89M","-0.15%"
"27-09-2023","100.10","99.90","101.20","98.50","34.89M","0.20%"
"26-09-2023","99.90","98.60","100.40","97.90","36.82M","1.47%"
"25-09-2023","98.45","100.30","100.50","97.75","34.41M","-1.45%"
"22-09-2023","99.90","99.50","101.40","98.70","39.49M","0.76%"
"21-09-2023","99.15","100.00","100.95","98.25","40.59M","-0.85%"
"20-09-2023","100.00","101.30","104.90","99.30","104.12M","-2.10%"
"18-09-2023","102.15","103.60","105.00","101.65","69.48M","-0.78%"
"15-09-2023","102.95","100.50","104.45","100.35","148.85M","3.52%"
"14-09-2023","99.45","98.65","100.10","98.20","45.23M","1.58%"
"13-09-2023","97.90","98.75","100.75","97.00","71.66M","-0.86%"
"12-09-2023","98.75","102.40","102.50","96.50","90.91M","-2.57%"
"11-09-2023","101.35","100.00","102.55","99.20","83.85M","1.76%"
"08-09-2023","99.60","100.75","101.10","99.00","63.48M","-0.45%"
"07-09-2023","100.05","98.65","101.60","98.20","111.22M","1.88%"
"06-09-2023","98.20","98.40","98.85","97.65","28.33M","0.00%"
"05-09-2023","98.20","98.15","99.30","97.05","51.13M","0.15%"
"04-09-2023","98.05","97.50","98.60","97.30","37.45M","0.87%"
"01-09-2023","97.20","98.30","98.35","96.85","47.56M","-0.41%"
"31-08-2023","97.60","100.05","100.80","96.70","113.06M","-2.20%"
"30-08-2023","99.80","99.50","100.50","97.20","250.11M","5.39%"
"29-08-2023","94.70","92.75","95.00","92.60","86.71M","2.54%"
"28-08-2023","92.35","96.00","96.10","91.75","141.12M","1.48%"
"25-08-2023","91.00","93.35","93.35","90.05","65.08M","-2.99%"
"24-08-2023","93.80","95.75","95.75","93.20","47.60M","-0.53%"
"23-08-2023","94.30","92.95","95.00","92.05","64.77M","2.61%"
"22-08-2023","91.90","90.30","94.30","90.10","104.41M","2.40%"
